pair_id,source_id_a,source_id_b,parallax_a,parallax_a_error,parallax_b,parallax_b_error,pmra_a,pmra_a_error,pmra_b,pmra_b_error,pmdec_a,pmdec_a_error,pmdec_b,pmdec_b_error,mean_g_mag,separation_arcsec,ruwe_a,ruwe_b
WB0000,1003080575370626944,1003080575370617728,9.945238640203309,0.5370549559593201,9.497094370166854,0.6354455351829529,79.32005888947072,0.43668487668037415,78.65753621917185,0.4690611660480499,-104.09586541521911,0.44810688495635986,-104.72863336096341,0.4373817443847656,20.218064308166504,6.400416027013858,0.9851851463317871,0.9961782693862915
WB0001,100536353946761728,100536353946762112,4.584894977494072,0.6148744225502014,5.554634019341078,0.9381451606750488,36.248655025222,0.8228803873062134,39.14299108152707,1.2408623695373535,-35.387425957117124,0.8534345626831055,-38.56105853372523,1.1391671895980835,20.396007537841797,8.50452994609548,1.0607391595840454,0.9684064984321594
WB0002,1006533767732900736,1006533763440848256,4.843248662224841,0.47549453377723694,4.904897587275129,0.3468643128871918,-12.762859164974826,0.32209160923957825,-12.89682164168832,0.2239193618297577,-24.95742646446046,0.37754350900650024,-25.34192672816063,0.257817804813385,19.977187156677246,3.025824595844791,1.0075799226760864,1.0049525499343872
WB0003,1008929564913828224,1008929569208837376,4.911993253938134,0.29748424887657166,5.235379521397558,0.22516030073165894,6.10732554481044,0.2567383348941803,7.0740611596177665,0.1999654769897461,-8.018300797572195,0.21636004745960236,-7.1884699511346755,0.15902771055698395,18.68889808654785,4.333942912345875,0.9563980102539062,1.0301014184951782
WB0004,1013776353903292928,1013776353903293056,6.571394516577822,0.06809302419424057,6.449471722527486,0.10694672167301178,-83.77953586192734,0.06529565155506134,-83.47914567299564,0.10253970324993134,-83.17271822462126,0.051777441054582596,-84.1430475484809,0.08271665871143341,17.291131019592285,4.3463651506133525,0.9753850698471069,0.9637514352798462
WB0005,1023714839506527360,1023714800850475008,6.053332435838732,0.4076257348060608,6.770701642502544,0.4137762784957886,-41.943585226770395,0.4182048439979553,-42.44431726114384,0.4000934064388275,-78.28465903641411,0.35209351778030396,-77.57035801798384,0.3464977443218231,19.95549488067627,71.63248955479871,0.9855390787124634,1.0960723161697388
WB0006,1025186016128402176,1025186016129824640,5.532434947904793,0.359250545501709,5.678445122981632,0.5315969586372375,-16.5320252910779,0.37392982840538025,-15.725447636107656,0.551922619342804,-68.10309686485405,0.36260801553726196,-68.62414346999464,0.602440357208252,20.016613960266113,2.0375774528836077,0.9736934304237366,0.9878820776939392
WB0007,102552411595524352,102552411595527040,4.428640404432639,0.287137508392334,4.344573602052574,0.5671440362930298,8.698894079010998,0.34082677960395813,8.010517210471233,0.5656487941741943,-9.55132302723269,0.2949635982513428,-8.47729301487132,0.5381080508232117,19.594603538513184,14.760493905211046,0.9249425530433655,0.9474013447761536
WB0008,1028216029656530432,1028216033951309440,8.083185975926115,0.6244859099388123,6.017402826607558,0.9307647943496704,-2.4644749032156508,0.6894056797027588,-2.780064034087241,1.352382779121399,-31.307250329593057,0.5364968180656433,-32.07969500320591,0.8750299215316772,20.44288921356201,2.013564081001809,0.9729114174842834,1.0124150514602661
WB0009,1029820217121659904,1017810595208747776,5.710551929909413,0.39017075300216675,5.6427263124659595,0.4632554054260254,-16.085780777264052,0.3330104351043701,-16.75154698400347,0.3733896017074585,-10.098244847779512,0.29567384719848633,-9.471626366822687,0.3544917702674866,19.771425247192383,17.418767143364416,1.0234036445617676,0.9766914248466492
WB0010,1042071701528617728,1042071701528617856,28.586495838101396,0.06368104368448257,28.572940116783734,0.07236076891422272,7.3289280675207,0.06189435347914696,4.73798177723388,0.06839515268802643,-63.43042659421076,0.053666550666093826,-69.40180848122348,0.05990080162882805,17.079331398010254,9.594211325027468,0.9734944701194763,1.0611040592193604
WB0011,1043114618370678784,1043114549651200896,8.46173359410052,0.17731903493404388,8.12845466328838,0.187873974442482,-189.13319232860835,0.14386916160583496,-188.82210673301242,0.15751363337039948,-27.69191789451375,0.18645928800106049,-28.010237650986166,0.19090557098388672,19.020374298095703,14.59438861002502,0.938086986541748,1.0086338520050049
WB0012,1045632779172316288,1045820413407933312,7.433350031828249,0.9187743663787842,6.300768531221409,0.2131318747997284,-115.71362347441612,0.8529943227767944,-117.29112946937036,0.19436053931713104,-18.910340867094206,0.9567511081695557,-18.334820964466978,0.19656436145305634,19.797837257385254,32.39260533688078,1.040562391281128,0.9771652817726135
WB0013,1049741649829703552,1049741654124591232,5.199952395138939,0.5249174237251282,7.546806637641311,1.2012320756912231,-42.967331681118196,0.4615815281867981,-41.45738792510729,1.0416115522384644,-20.837917483507066,0.4310930073261261,-20.423407072610424,1.2689967155456543,20.538601875305176,14.50262508954573,1.0299137830734253,1.0071749687194824
WB0014,1051864188307366272,1051864158243487360,6.933143850045682,0.2871667742729187,6.580659993004175,0.4075475037097931,13.693749443197976,0.23115184903144836,13.798931592732025,0.3298592269420624,-54.89103701497895,0.2634563446044922,-55.24319964594014,0.3456614315509796,19.90895175933838,50.86730904562396,0.99434894323349,1.059300184249878
WB0015,1052299045157345152,1052299113875750912,4.476992651249402,0.6309031248092651,7.483710284514483,0.9215567708015442,-48.22514105069208,0.5848982930183411,-47.45655263721663,1.1711865663528442,-6.54769307213295,0.7052755951881409,-7.184148559955639,1.457806944847107,20.665979385375977,5.947459534808592,0.9795370101928711,0.9714953303337097
WB0016,1054092417340727424,1054092417341483008,6.448245539116201,0.5552854537963867,6.874112531419575,0.9593662619590759,-18.44349189325183,0.6201326847076416,-15.06590594431838,0.8872374296188354,-106.23839408210554,0.6133986115455627,-108.27185500043203,1.0766397714614868,20.622244834899902,3.6003672685622936,1.028062343597412,1.0958518981933594
WB0017,1061156057994470400,1061155680037347456,8.650474147114888,0.0857643112540245,8.348105444311292,0.3070039451122284,79.33016814755189,0.09232927113771439,78.75309757923876,0.29192113876342773,-118.13179530437006,0.10172620415687561,-117.88205500133749,0.37443920969963074,18.753753662109375,33.46425371266115,1.0390537977218628,1.012387752532959
WB0018,1062250660475231872,1062250660474551936,5.541621786460035,0.21141158044338226,5.7666619888423645,0.2101009488105774,-14.32883994117769,0.20472581684589386,-13.651550689436162,0.20535938441753387,-22.289669858643197,0.25825658440589905,-22.851963293243863,0.26181745529174805,19.153438568115234,2.4471126089754396,1.0004302263259888,1.0143113136291504
WB0019,1063981772814746368,1063981734158309248,8.712802284499015,0.3156343996524811,9.047096662472045,0.2524627149105072,-154.82976269955807,0.2561499774456024,-155.66691953463916,0.20183032751083374,-40.37394545994549,0.2691572904586792,-39.92578167371913,0.22205448150634766,19.613638877868652,7.992842521084326,0.95790696144104,1.0041955709457397
WB0020,1068605146193622656,1068605116130339968,6.013061075125449,0.5806701183319092,6.410617005586815,0.5154320597648621,-7.04917597627632,0.41551461815834045,-6.678418007489576,0.3748733103275299,31.83713706294294,0.5968451499938965,32.60946681653288,0.5836830139160156,20.316457748413086,41.15902429749569,1.0124921798706055,0.9967973232269287
WB0021,1068909504756042112,1068908650057637248,8.072842935527833,0.18984673917293549,8.171349293566776,0.250289648771286,-70.13852594884085,0.143999844789505,-70.35427944028525,0.19410236179828644,-85.59179657342142,0.2280225306749344,-86.55151335992412,0.29673922061920166,19.272501945495605,117.07270560469631,0.9322428703308105,0.9788070917129517
WB0022,1075991635244641920,1075991630949164288,6.876288493408094,0.36371564865112305,8.022038585653146,0.32774847745895386,-37.803590337666826,0.4560066759586334,-37.97643053269447,0.4753435254096985,-22.77492273904532,0.4956463575363159,-23.464599787095803,0.5209844708442688,19.923219680786133,9.663799859833073,1.0244903564453125,1.0824337005615234
WB0023,1083458521787419008,1083458521787418880,7.998050019658434,0.49299710988998413,7.486162744040419,0.46161389350891113,-53.634300844879235,0.3693207800388336,-58.357520563370116,0.34687790274620056,-66.16810352940252,0.3358868956565857,-64.61489113733268,0.3730352222919464,19.673518180847168,1.1899617508902567,1.1471976041793823,1.054872751235962
WB0024,1087317562789799680,1087317567082694912,12.00101130952991,0.2064058482646942,11.56571114256498,0.3269089162349701,83.64359980417817,0.18007288873195648,84.20343283333877,0.2891249656677246,-70.91519765927332,0.14930155873298645,-64.33885868157287,0.239762544631958,19.136554718017578,2.3460672201060464,1.0375287532806396,1.0195958614349365
WB0025,1094734082252355968,1094734077955951232,2.8731913931125455,0.3126644492149353,3.047922888300535,0.3246045410633087,-17.330364134891646,0.26690924167633057,-17.283603147183907,0.2714526951313019,-27.97663608233198,0.2772790491580963,-28.654919673283544,0.28229662775993347,19.68900489807129,2.2026545126856663,1.0335592031478882,1.0534640550613403
WB0026,1094968518747322624,1094968518745533440,8.202113570924173,0.1253737509250641,6.612688739191906,0.5199970602989197,10.609064155290937,0.07408714294433594,9.812745044153498,0.2322303056716919,-59.245543610585756,0.10402089357376099,-55.36245091457054,0.5450385808944702,18.909730911254883,1.0333324611305965,1.207919955253601,0.9867639541625977
WB0027,1096472822451826560,1096472818155770880,3.7033472128437523,0.2303341031074524,4.030161074628673,0.5705020427703857,-21.262226142634773,0.15772461891174316,-21.455589395455014,0.38948971033096313,-34.42151509365772,0.2363107055425644,-34.67635116043966,0.5578982830047607,19.842556953430176,9.372238693587832,0.9873510599136353,1.0089318752288818
WB0028,1099325161772414208,1099324955613356544,12.238444455554282,0.03423980623483658,11.259311075221138,0.5696285367012024,-110.7215032979006,0.032674092799425125,-109.42143265426338,0.5461535453796387,-208.15812402004823,0.030115272849798203,-208.2068082577108,0.49364352226257324,18.014676570892334,3.783138640454843,1.0230921506881714,0.9998877048492432
WB0029,1100655330324351616,1100267237077449728,35.84601104436383,0.054029468446969986,35.973434530627046,0.045283567160367966,-133.359546446933,0.040746722370386124,-133.64352167689248,0.035750288516283035,-398.3737946474624,0.05170983448624611,-397.6427903304353,0.03708972409367561,16.37648868560791,489.4207938153329,0.9495074152946472,0.9581772089004517
